epoch,train_loss,test_loss,train_acc,test_acc
1,1.6275,1.1563,48.55,64.80
2,0.8360,0.6061,79.67,84.72
3,0.4499,0.3787,89.77,89.76
4,0.3096,0.2682,92.66,93.38
5,0.2484,0.2705,93.94,92.79
6,0.2109,0.2020,94.76,94.82
7,0.1856,0.1897,95.29,94.67
8,0.1712,0.1765,95.57,95.20
9,0.1549,0.1755,96.01,94.93
10,0.1435,0.1691,96.30,95.13
11,0.1360,0.1524,96.43,95.80
12,0.1283,0.1601,96.61,95.16
13,0.1213,0.1340,96.74,96.08
14,0.1179,0.1302,96.83,96.35
15,0.1126,0.1634,97.00,95.32
16,0.1072,0.1155,97.09,96.47
17,0.1039,0.1259,97.20,96.31
18,0.1010,0.1592,97.19,95.49
19,0.0991,0.1241,97.28,96.44
20,0.0960,0.1066,97.38,96.93
21,0.0926,0.1237,97.48,96.42
22,0.0912,0.1081,97.48,96.94
23,0.0879,0.1173,97.57,96.76
24,0.0870,0.1196,97.58,96.29
25,0.0845,0.0945,97.65,97.24
