epoch,train_loss,test_loss,train_acc,test_acc
1,0.3933,0.1217,87.86,96.27
2,0.1016,0.0702,96.97,97.67
3,0.0736,0.0555,97.72,98.17
4,0.0611,0.0489,98.18,98.45
5,0.0525,0.0444,98.36,98.63
6,0.0488,0.0449,98.54,98.52
7,0.0429,0.0383,98.67,98.69
8,0.0401,0.0392,98.79,98.68
9,0.0365,0.0407,98.87,98.68
10,0.0345,0.0327,98.96,98.85
11,0.0324,0.0379,99.05,98.82
12,0.0301,0.0444,99.07,98.54
13,0.0279,0.0344,99.15,98.86
14,0.0270,0.0347,99.15,98.95
15,0.0252,0.0331,99.22,98.91
16,0.0234,0.0348,99.28,98.93
17,0.0234,0.0317,99.30,98.96
18,0.0213,0.0351,99.36,98.87
19,0.0200,0.0311,99.38,98.86
20,0.0190,0.0377,99.41,98.75
21,0.0174,0.0336,99.49,98.92
22,0.0165,0.0340,99.49,98.93
23,0.0167,0.0397,99.45,98.83
24,0.0153,0.0354,99.54,98.97
25,0.0150,0.0338,99.54,99.00
