epoch,train_loss,test_loss,train_acc,test_acc
1,1.6275222380278207,1.1562973804111722,48.553333333333335,64.8
2,0.8360426743655825,0.6061079049412208,79.67,84.72
3,0.44985555947970735,0.37867355044884016,89.76666666666667,89.76
4,0.30960262860697724,0.26824392491503607,92.66333333333333,93.38
5,0.24836031182297766,0.2705489239549335,93.94,92.79
6,0.21088863569282013,0.20202157575684257,94.76333333333334,94.82
7,0.18555614420536484,0.18970437371466733,95.28833333333333,94.67
8,0.17118937377609425,0.17645640940039972,95.57,95.2
9,0.15486296415646703,0.17550188901869557,96.00833333333334,94.93
10,0.1435187265975897,0.1690814588926261,96.29833333333333,95.13
11,0.13604783212770022,0.15237835386791562,96.43166666666667,95.8
12,0.12833703468158555,0.16014841272012342,96.60666666666667,95.16
13,0.12133547389653446,0.13395055307994916,96.73833333333333,96.08
14,0.11792182665802776,0.1301623201822933,96.82666666666667,96.35
15,0.11263092464284856,0.16343066973399512,97.00166666666667,95.32
16,0.10723172979695457,0.11553635536634092,97.09166666666667,96.47
17,0.1039258546189967,0.1258712316379894,97.205,96.31
18,0.10099412865444288,0.15917539353706414,97.19333333333333,95.49
19,0.09913192314904,0.12408341456770519,97.27666666666667,96.44
20,0.09596586902179062,0.10657724285427528,97.38333333333334,96.93
21,0.09256463595576632,0.12372133131080036,97.47666666666667,96.42
22,0.0912108767880941,0.10812585908165083,97.47833333333334,96.94
23,0.08793872280288607,0.11728211821210158,97.56666666666666,96.76
24,0.08699558749159517,0.1195693292737573,97.58333333333333,96.29
25,0.08445639635867147,0.0944873127921284,97.65333333333334,97.24
