CommRound,Acc,Loss,Time
0,27.95,2.2397,0.0
1,30.06,2.1470,46.75
2,32.43,2.1266,58.45
3,35.03,2.0963,43.74
4,36.52,2.0713,54.69
5,37.88,1.9790,50.17
6,39.76,1.9586,46.75
7,41.36,1.8680,47.30
8,44.19,1.8051,51.28
9,45.24,1.7143,56.05
10,47.11,1.6531,43.14
11,49.90,1.5847,46.79
12,51.23,1.5514,51.85
13,53.52,1.4941,41.68
14,55.63,1.4281,58.96
15,57.30,1.3615,58.67
16,58.61,1.2721,52.94
17,59.96,1.2418,57.74
18,62.70,1.1982,55.10
19,64.46,1.1668,56.64
20,66.54,1.1293,47.46
21,68.98,1.0763,47.08
22,70.89,1.0235,47.45
23,72.87,0.9772,40.18
24,75.32,0.9078,49.44
25,76.36,0.8693,45.20
26,78.21,0.7756,59.82
27,80.19,0.7209,57.06
28,81.62,0.6997,44.93
29,83.09,0.6283,56.82
30,84.57,0.5804,51.16
