CommRound,Acc,Loss,Time
0,15.68,2.3011872617504263,4.661371469497681
1,40.76,1.8138402624975276,33.073894023895264
2,65.71,0.9970193324209768,33.091100215911865
3,71.04,0.7634757055511957,34.443055391311646
4,79.8,0.5727985837037051,32.280054330825806
5,82.21,0.4977378164288364,46.41533875465393
6,85.11,0.41963794072972066,37.575841665267944
7,86.47,0.3962941307433044,40.46258616447449
8,89.77,0.31165808359090286,50.501304388046265
9,89.57,0.33179577631003493,46.06923151016235
10,91.33,0.2931541664926689,44.64675784111023
11,87.88,0.4313073783075508,38.787230014801025
12,87.54,0.42504071180201786,39.96766495704651
13,89.79,0.36898588431598267,44.185739040374756
14,83.33,0.6328025563985487,37.768314838409424
15,89.22,0.3987614191314088,43.07090759277344
16,89.14,0.44715697570597823,38.38405179977417
17,86.97,0.4148446409196793,38.70054769515991
18,87.39,0.4625468414418305,32.90674114227295
19,90.89,0.345662132094178,34.279529333114624
20,92.39,0.3055575294538012,35.44175577163696
21,92.56,0.3115917032796748,36.97158098220825
22,92.48,0.3229883217453202,32.621178150177
23,92.48,0.328006575662124,42.694571018218994
24,92.51,0.3324642531290839,39.47408747673035
25,92.48,0.3355305067770466,32.69978308677673
26,92.49,0.3377377793805886,36.286051988601685
27,92.55,0.3399570947395095,40.11898422241211
28,92.55,0.3417456235878075,42.16623282432556
29,92.6,0.34331660859192475,32.621585845947266
30,92.63,0.34491672682799873,32.6274790763855
